,R_ref,SB_mag,SB_mag_err,SB_fdens,SB_fdens_err
0,1.0,19.694431,0.34506547,13.250347,4.2111864
1,1.2686251981032597,19.701763,0.35285452,13.161175,4.2772636
2,1.609409893262535,19.724865,0.34777248,12.884107,4.126912
3,2.041737944669529,19.807983,0.33317134,11.934572,3.6622684
4,2.5902002045313237,19.995708,0.3178547,10.039606,2.9391448
5,3.285993247600654,20.304003,0.3133738,7.557858,2.181409
6,4.168693834703354,20.66258,0.32107157,5.4321027,1.6063697
7,5.288510041882381,21.025255,0.34107006,3.889535,1.2218473
8,6.709137099554112,21.440147,0.36764887,2.6542432,0.89877224
9,8.511380382023763,21.881973,0.39894587,1.7668941,0.64923245
10,10.797751623277094,22.348675,0.43477744,1.1495559,0.4603337
11,13.698299792149703,22.821741,0.47417295,0.7435386,0.3247252
12,17.378008287493753,23.323484,0.5217708,0.4683885,0.22509284
13,22.04617920636185,23.867653,0.5842119,0.2837518,0.15268089
14,27.968338463090777,24.468224,0.674495,0.16319649,0.10138302
15,35.48133892335755,25.150978,0.80298615,0.08701793,0.06435651
16,45.012520620613365,25.963236,0.98031133,0.04118186,0.037183106
17,57.104017889452685,26.99387,1.4138155,0.01593866,0.02075488
18,72.44359600749898,28.853521,4.8683863,0.0028746908,0.012889967
19,91.90377133632595,,-2.6998436,-0.0035243526,0.008763825
20,116.59144011798311,,-1.3816968,-0.006676575,0.0084965415
21,147.91083881682073,,-0.95971,-0.008388106,0.007414462
22,187.64341719560858,,-1.4966042,-0.0066473675,0.009162887
23,238.04916731255136,,-3.8567688,-0.0026070308,0.009260735
24,301.9951720402016,,-3.6552927,-0.0063081854,0.021237446
