logM_*,[12.1 12.4],[12.1 12.4]_err,[12.4 12.7],[12.4 12.7]_err,[12.7 13.0],[12.7 13.0]_err,[13.0 13.3],[13.0 13.3]_err,[13.3 13.6],[13.3 13.6]_err,[13.6 13.9],[13.6 13.9]_err,[13.9 14.2],[13.9 14.2]_err,[14.2 14.5],[14.2 14.5]_err,[>14.5],[>14.5]_err
8.9,0.857,0.238,1.534,0.558,3.944,1.745,7.232,3.599,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9.0,0.867,0.191,1.793,0.364,2.569,0.723,7.962,1.834,10.542,4.496,19.005,6.481,38.365,10.604,120.947,91.664,0.000,0.000
9.1,0.860,0.138,1.117,0.237,2.984,0.662,7.154,1.573,12.582,4.204,22.436,4.295,44.760,17.909,105.092,53.583,232.801,187.113
9.2,0.740,0.099,1.353,0.209,2.221,0.437,6.045,0.845,11.677,3.663,20.303,4.000,35.106,10.618,120.722,59.000,273.560,191.005
9.3,0.626,0.080,1.278,0.180,2.412,0.321,4.447,0.903,7.831,1.935,19.684,3.393,37.028,9.060,114.475,54.627,240.362,124.617
9.4,0.572,0.071,1.252,0.136,3.118,0.316,4.153,0.540,8.288,1.085,20.259,2.992,39.099,8.065,100.398,30.349,268.824,134.078
9.5,0.476,0.057,1.064,0.110,2.034,0.222,4.965,0.653,9.177,1.263,21.391,2.823,37.373,4.539,87.398,26.248,251.692,57.480
9.6,0.522,0.054,0.991,0.093,2.512,0.218,4.064,0.455,8.755,1.012,16.330,1.757,33.938,5.091,94.456,22.537,188.324,47.538
9.7,0.414,0.037,0.873,0.078,1.691,0.160,3.553,0.382,6.781,1.065,15.900,1.777,41.002,4.031,85.229,17.790,206.746,46.094
9.8,0.419,0.046,0.817,0.088,1.700,0.138,3.288,0.283,7.694,0.865,14.748,1.399,36.148,3.253,78.295,13.852,170.928,37.206
9.9,0.401,0.028,0.802,0.055,1.733,0.133,2.959,0.243,7.274,1.067,16.538,1.313,38.849,5.484,78.331,10.478,163.676,24.944
10.0,0.339,0.052,0.766,0.057,1.598,0.104,2.983,0.197,6.379,0.630,15.380,1.293,30.516,2.681,71.385,8.285,154.757,21.411
10.1,0.283,0.055,0.673,0.037,1.388,0.073,3.167,0.173,6.209,0.453,13.795,0.807,30.357,2.111,67.792,8.082,133.214,26.301
10.2,0.176,0.040,0.610,0.039,1.391,0.079,2.850,0.133,5.491,0.486,13.024,0.811,26.062,2.053,60.936,5.756,117.930,16.417
