,ra,dec,z,objID,g_mag,r_mag,i_mag,c_g2r,c_g2i,c_g2r_zref,c_g2i_zref
0,203.83372267931975,41.0011464409052,0.23174694,1237662306722447498,17.901672,16.366825,15.850655,1.5348473,2.0510178,1.5348472595214844,2.0510177612304705
1,140.21889165811075,30.461187177126508,0.2942456,1237664092903702773,19.20584,17.485807,16.92785,1.7200317,2.2779884,1.72003173828125,2.2779884338378906
2,130.7398189043654,36.36646003953564,0.29645097,1237657628437578060,19.219233,17.525244,16.979864,1.6939888,2.2393684,1.6939888000488281,2.239368438720703
3,174.05435379455596,40.043272298621616,0.2945722,1237662225674469597,19.199816,17.59254,16.987646,1.607275,2.2121696,1.6072750091552734,2.212169647216797
4,210.25219989055893,2.8638091045806404,0.25708973,1237651754560389456,19.730865,18.172491,17.630459,1.5583744,2.1004066,1.5583744049072266,2.1004066467285156
5,188.56728230785902,15.252336618148355,0.27977693,1237664291003695270,19.839067,18.189487,17.609932,1.64958,2.2291355,1.6495800018310547,2.229135513305664
6,161.87087891344262,15.233911753538266,0.20857787,1237668584356118826,18.324049,16.906765,16.408085,1.417284,1.9159641,1.4172840118408203,1.915964126586914
7,16.230713631398995,0.06009308302478193,0.27608192,1237663784204501199,18.82249,17.254784,16.674833,1.5677071,2.1476574,1.5677070617675781,2.1476573944091797
8,192.34208293620435,49.79503970710243,0.2872477,1237661151377490155,18.93353,17.312283,16.730701,1.6212482,2.2028294,1.6212482452392578,2.202829360961914
9,201.75420950276046,2.2054218806332626,0.2600985,1237651736303370409,18.411627,16.840244,16.269663,1.5713825,2.141964,1.5713825225830078,2.1419639587402344
10,163.57309680027458,14.651168356742815,0.2970839,1237664132629790823,18.824017,17.17889,16.578976,1.6451263,2.245041,1.6451263427734375,2.2450408935546875
11,137.77332658452573,61.12982540020802,0.28957656,1237663546907033853,18.2782,16.65723,16.059391,1.6209698,2.2188091,1.6209697723388672,2.218809127807619
12,187.26057191239275,47.62237914373845,0.25267258,1237661357545095253,18.599058,17.029755,16.48626,1.5693035,2.1127987,1.5693035125732422,2.1127986907958984
13,9.575498003419852,9.463182441093377,0.28362858,1237679318019735708,19.708504,18.145992,17.597845,1.5625114,2.1106586,1.5625114440917969,2.110658645629883
14,185.67209349312708,2.0997009148511507,0.22911087,1237651753475965014,18.564125,17.090399,16.537115,1.4737263,2.02701,1.4737262725830078,2.027009963989258
15,2.336086639112864,6.823088301213931,0.24398266,1237669516906004756,18.314003,16.765936,16.247032,1.5480671,2.0669708,1.5480670928955078,2.0669708251953125
16,142.7069494638422,28.852226107210573,0.29905593,1237664835396239593,19.653788,18.007345,17.431816,1.6464424,2.2219715,1.6464424133300781,2.2219715118408203
17,184.48662777963824,20.671367522784987,0.21443991,1237667916493881626,17.633625,16.284866,15.797961,1.3487587,1.8356638,1.3487586975097656,1.8356637954711914
18,155.2866704709054,14.767664392406067,0.24841015,1237671260671311946,18.447386,16.933332,16.3947,1.5140533,2.0526867,1.5140533447265625,2.0526866912841797
19,334.315983702489,9.052793669803416,0.28500324,1237672005855281198,19.687195,18.011175,17.426739,1.6760197,2.260456,1.6760196685791016,2.260456085205078
20,201.50228458054488,12.378766184237936,0.20602646,1237671958587703587,18.148584,16.803955,16.320671,1.3446293,1.8279133,1.3446292877197266,1.8279132843017578
21,142.01888052439696,20.52919699032965,0.20824991,1237667292653813875,17.120039,15.745578,15.250406,1.3744612,1.8696327,1.3744611740112305,1.8696327209472656
22,127.49773905910564,56.32903732272889,0.28901133,1237663547977695529,19.378937,17.793362,17.261656,1.5855751,2.117281,1.5855751037597656,2.117280960083008
23,149.94517078015093,22.402691947063076,0.25362083,1237667292120219889,18.01204,16.48536,15.956795,1.52668,2.0552444,1.5266799926757812,2.055244445800783
24,358.91160430600587,1.765266357406053,0.24655814,1237678617954222323,18.330204,16.863422,16.332767,1.4667816,1.9974365,1.4667816162109375,1.9974365234375
25,12.771797942357352,26.28797321810424,0.24628298,1237678789201625159,18.449106,16.934286,16.370113,1.5148201,2.0789928,1.5148200988769531,2.0789928436279297
26,172.46469947626252,2.9379726523747722,0.2382387,1237651754543874304,19.124317,17.769478,17.21793,1.3548393,1.9063873,1.3548393249511719,1.9063873291015625
27,140.53187200525457,3.76632940215769,0.277344,1237654601559245163,18.930573,17.385796,16.839088,1.5447769,2.091484,1.5447769165039062,2.0914840698242188
28,146.73028244800727,15.190685794046916,0.23470041,1237670964314636367,18.891945,17.391804,16.868975,1.5001411,2.0229702,1.5001411437988281,2.022970199584961
29,125.11184818605564,7.6139228844242695,0.22618544,1237661066553131525,18.52684,17.045311,16.528566,1.4815292,1.9982738,1.4815292358398438,1.9982738494873047
30,130.13604615299332,5.712864957495667,0.2852671,1237660412109652193,18.500137,16.90593,16.3523,1.5942078,2.1478367,1.594207763671875,2.147836685180664
31,130.62388650354953,8.302270549029993,0.23589924,1237664285634003300,18.782179,17.33489,16.81076,1.4472885,1.9714184,1.4472885131835938,1.9714183807373047
32,237.14053418567278,36.09323679843965,0.24915533,1237662503755972875,18.58134,17.031223,16.53748,1.5501175,2.0438614,1.5501174926757812,2.0438613891601562
33,7.225206091609607,7.835035389957127,0.27922615,1237669702657638622,18.876945,17.281076,16.695387,1.5958691,2.1815586,1.5958690643310547,2.181558609008789
34,233.83108140443687,34.35797233346939,0.23222087,1237662335178965330,18.096573,16.60198,16.048216,1.4945927,2.048357,1.4945926666259766,2.0483570098876953
35,168.19808626627406,2.502992486041581,0.27223596,1237651754005168429,19.093376,17.577444,17.011343,1.5159321,2.0820332,1.5159320831298828,2.082033157348633
36,174.74792496257106,63.5891969959147,0.21073866,1237651065203720314,17.93859,16.560673,16.049362,1.3779163,1.8892269,1.3779163360595703,1.8892269134521484
37,16.54324207894651,0.8556917872165687,0.26237586,1237663785278374092,19.207924,17.657394,17.109459,1.5505295,2.098465,1.5505294799804688,2.0984649658203125
38,16.03031124256421,25.015337935326404,0.2778487,1237666275810410916,19.15563,17.575161,17.072847,1.5804691,2.0827827,1.5804691314697266,2.082782745361328
