,ra,dec,z,r_cmag,r_cMag,g_cmag,g_cMag,i_cmag,i_cMag
0,203.83372267931972,41.0011464409052,0.23174694,16.39161,-23.990647941969456,18.03417,-22.348087941969457,15.942470000000002,-24.439787941969456
1,260.61325903724463,32.1325684169872,0.22932445,15.573310000000001,-24.783227600207773,17.3102,-23.046337600207774,15.113620000000001,-25.24291760020777
2,140.21889165811078,30.46118717712651,0.29424559999999994,17.54791,-23.424545422116367,19.44442,-21.528035422116368,17.06019,-23.91226542211637
3,203.16004737928918,50.5599991282856,0.29092997,17.36926,-23.57493021130694,19.00827,-21.93592021130694,16.77115,-24.17304021130694
4,16.230713631398995,0.060093083024781925,0.27608192,17.34685,-23.46701128628673,18.88166,-21.93220128628673,16.7811,-24.032761286286732
5,192.34208293620438,49.79503970710243,0.28724770000000005,17.35163,-23.560819924353957,18.89379,-22.01865992435396,16.80474,-24.10770992435396
6,201.75420950276046,2.2054218806332626,0.2600985,16.91573,-23.750419702899695,18.62054,-22.045609702899696,16.33341,-24.332739702899694
7,163.5730968002746,14.651168356742813,0.29708390000000007,17.2389,-23.7575195963405,18.84347,-22.152949596340502,16.66685,-24.3295695963405
8,137.7733265845257,61.12982540020803,0.28957656,17.02881,-23.90375733518504,18.74889,-22.183677335185042,16.37506,-24.55750733518504
9,187.26057191239278,47.62237914373845,0.25267258,17.0631,-23.531557752957056,18.81171,-21.782947752957053,16.510360000000002,-24.084297752957053
10,185.6720934931271,2.0997009148511507,0.22911087,17.15859,-23.195667949334986,18.67963,-21.674627949334987,16.55132,-23.802937949334986
11,2.3360866391128643,6.823088301213932,0.24398266,16.9937,-23.51479724941485,18.8165,-21.69199724941485,16.42515,-24.083347249414853
12,201.84549713948246,3.629195635850618,0.22044352,16.72523,-23.534821731806073,18.3326,-21.927451731806073,16.17698,-24.083071731806072
13,184.48662777963824,20.67136752278499,0.21443991,16.43445,-23.758322426840515,17.83089,-22.361882426840513,15.9905,-24.202272426840512
14,28.174847327626125,1.0070892973837489,0.2275947,15.66886,-24.66915849836763,17.179579999999998,-23.158438498367634,15.06931,-25.26870849836763
