,ra,dec,z,objID,g_mag,r_mag,i_mag,c_g2r,c_g2i,c_g2r_zref,c_g2i_zref
0,250.08254838650885,46.71153135360437,0.23276423,1237651715872325879,17.980946,16.546164,16.04907,1.434782,1.9318752,1.4347820281982422,1.931875228881836
1,260.61325903724463,32.1325684169872,0.22932445,1237665569301987827,16.727022,15.258981,14.774956,1.4680414,1.9520664,1.4680414199829102,1.952066421508789
2,203.16004737928918,50.5599991282856,0.29092997,1237662301357736239,18.921555,17.330626,16.758242,1.590929,2.163313,1.5909290313720703,2.1633129119873047
3,154.39302393136964,59.561061039218615,0.2890586,1237655370892181721,19.23132,17.761461,17.213303,1.4698582,2.0180168,1.469858169555664,2.018016815185547
4,201.84549713948246,3.629195635850618,0.22044352,1237655123943096651,17.941801,16.538015,16.038204,1.4037857,1.9035969,1.4037857055664062,1.9035968780517578
5,188.60036066307475,9.787638325896507,0.22960329,1237662237468000464,18.555216,17.071842,16.581106,1.4833736,1.9741096,1.4833736419677734,1.9741096496582031
6,28.174847327626125,1.0070892973837489,0.2275947,1237663785283485713,17.027292,15.586282,15.054621,1.4410105,1.9726715,1.4410104751586914,1.9726715087890625
7,0.4936709341932328,12.066117621618424,0.21127774,1237678919131136089,17.304354,15.909488,15.414005,1.394866,1.8903484,1.3948659896850586,1.8903484344482422
8,142.15268950958531,37.789787653044044,0.24691221,1237660342861430885,18.57186,17.11418,16.637657,1.4576797,1.9342022,1.4576797485351562,1.9342021942138672
9,173.2174449797248,39.84333417776916,0.29865885,1237662225674142469,20.220438,18.748337,18.19004,1.4721012,2.0303974,1.4721012115478516,2.030397415161133
10,179.31323546362367,33.610706938161215,0.21948987,1237665126931234948,18.855225,17.51862,17.027626,1.3366051,1.8275986,1.3366050720214844,1.8275985717773438
11,166.23145049284113,47.42101288520093,0.2152495,1237658203432288269,18.535248,17.173225,16.673111,1.3620224,1.8621368,1.3620223999023438,1.8621368408203125
12,139.5892214503993,61.174897211194086,0.28188804,1237663529190555852,18.512825,16.926702,16.363525,1.5861225,2.1492996,1.5861225128173828,2.1492996215820312
13,155.83671234890056,59.81103219390252,0.20253773,1237654383057109123,17.142363,15.827477,15.320535,1.3148851,1.8218279,1.3148851394653303,1.8218278884887678
14,203.10213421280994,50.40715638104107,0.27532956,1237661957758320842,19.09356,17.59772,17.035818,1.4958401,2.0577412,1.495840072631836,2.057741165161133
15,180.9727591822912,1.7834583508627995,0.24152568,1237651752936997161,19.386438,17.994848,17.491026,1.3915901,1.8954124,1.3915901184082031,1.8954124450683594
16,114.33720906162358,35.29491907023847,0.20893908,1237651250940084623,17.82646,16.54711,16.06059,1.2793503,1.7658691,1.2793502807617188,1.765869140625
17,17.079356486064967,27.967261939180283,0.24868143,1237680076077728201,19.208147,17.795244,17.288782,1.4129028,1.9193649,1.41290283203125,1.9193649291992188
18,223.7784941456913,61.96940329670838,0.29094145,1237651538719736035,17.99977,16.442034,15.907143,1.5577354,2.0926266,1.5577354431152344,2.0926265716552734
19,249.90828250305094,47.05288370397957,0.22638986,1237651715872129401,18.554693,17.216211,16.716522,1.3384819,1.838171,1.3384819030761719,1.8381710052490234
20,143.8643512074372,7.507251447461724,0.21627316,1237660412115615946,17.946579,16.580853,16.072615,1.3657265,1.8739643,1.3657264709472656,1.8739643096923828
21,194.61600476885656,65.35865194411417,0.23361036,1237651067354939537,18.318293,16.893642,16.39383,1.4246502,1.9244633,1.4246501922607422,1.9244632720947266
22,221.02860684322758,63.74987929357779,0.2920417,1237651539792625926,19.349445,17.710093,17.154316,1.6393528,2.1951294,1.639352798461914,2.19512939453125
23,143.03589195768896,29.067815263131827,0.29994437,1237664878339490090,19.203733,17.648571,17.077406,1.5551624,2.1263275,1.5551624298095703,2.1263275146484375
24,153.7936732941738,32.53078161204653,0.29576346,1237664337170792588,18.87732,17.244713,16.702784,1.6326065,2.1745358,1.6326065063476562,2.1745357513427734
25,173.86226702834665,31.892405551983,0.246881,1237665368509317222,18.317873,16.943306,16.453627,1.374567,1.8642464,1.3745670318603516,1.8642463684082031
26,23.93606625352254,9.167401909532574,0.2594375,1237678906255999080,18.191978,16.719414,16.205242,1.4725647,1.9867363,1.472564697265625,1.9867362976074219
27,201.05500096128225,-3.297648639603563,0.21954367,1237655497589588217,18.359547,16.979656,16.468704,1.3798904,1.8908424,1.3798904418945312,1.8908424377441406
28,126.73983844758249,31.1346893217077,0.21097171,1237658191074230321,16.88753,15.554082,15.069296,1.3334475,1.8182335,1.3334474563598633,1.8182334899902344
29,172.5054328995613,12.938055758533348,0.25022402,1237661950786142215,18.312048,16.861042,16.366522,1.4510059,1.9455261,1.4510059356689453,1.945526123046875
30,147.55048044922435,21.647679989257202,0.27604023,1237667292119236811,17.758654,16.168463,15.648834,1.5901909,2.1098194,1.5901908874511719,2.1098194122314435
31,155.68104104083469,32.31017129392234,0.29342368,1237665129607004296,18.557364,17.011875,16.461601,1.5454884,2.0957623,1.5454883575439453,2.095762252807617
32,147.64382569062425,15.850169266355094,0.23012948,1237670964851900648,18.686565,17.236326,16.738276,1.4502392,1.9482899,1.4502391815185547,1.9482898712158203
33,335.0352672816424,9.39873746549281,0.24848895,1237679010388574517,18.650137,17.170061,16.654785,1.4800758,1.9953518,1.4800758361816406,1.995351791381836
34,13.512649990710997,20.230530227769897,0.27973607,1237679504324428034,18.532568,16.99262,16.459082,1.5399475,2.0734863,1.539947509765625,2.073486328125
35,190.8529501452823,27.28036018105903,0.20148268,1237667442973343870,16.78546,15.445869,14.971157,1.3395901,1.8143024,1.339590072631836,1.8143024444580078
36,126.49094492458282,4.246738507670514,0.23492122,1237658424076075459,17.653488,16.254704,15.734031,1.3987846,1.9194574,1.3987846374511719,1.9194574356079102
37,172.83706026817623,33.57974924282652,0.21897735,1237665127465812119,18.071722,16.701553,16.216185,1.3701687,1.8555374,1.370168685913086,1.8555374145507812
38,349.9376324602792,-1.291320103996125,0.29610106,1237678882089926925,18.61171,16.977846,16.40323,1.6338634,2.208479,1.6338634490966797,2.2084789276123047
39,19.302895958835563,15.018507114185836,0.2697371,1237649920578158744,18.901485,17.418198,16.86162,1.4832878,2.0398655,1.4832878112792969,2.039865493774414
40,152.87370494805964,8.351576280381217,0.2803187,1237660583907688673,18.924541,17.366758,16.824594,1.5577831,2.099947,1.5577831268310547,2.099946975708008
41,208.63017949900006,4.027129023627998,0.23843017,1237654879660540077,18.11972,16.602608,16.125355,1.5171127,1.9943657,1.5171127319335938,1.9943656921386719
42,245.22622853002446,44.70048357151421,0.22101703,1237665355624087854,18.177015,16.825222,16.315426,1.3517933,1.8615894,1.3517932891845703,1.8615894317626953
43,14.871674890911038,3.7222405148987665,0.2689692,1237678660356735108,18.591019,17.036613,16.502316,1.5544052,2.0887032,1.5544052124023438,2.088703155517578
44,358.28960502930744,13.765319197422352,0.26507768,1237656240634462551,17.752348,16.223633,15.681677,1.5287151,2.070671,1.5287151336669922,2.070671081542967
45,235.48776262058055,42.82189286906492,0.25567058,1237659120403677407,18.438547,16.99389,16.477846,1.4446564,1.960701,1.4446563720703125,1.9607009887695312
46,239.2227005012262,45.33825433111747,0.2284141,1237659325488889873,18.173716,16.8547,16.368011,1.3190155,1.8057041,1.3190155029296875,1.805704116821289
47,17.975222205956356,24.43525167611986,0.2015109,1237680070174572852,17.983074,16.684715,16.188366,1.2983589,1.7947083,1.2983589172363281,1.794708251953125
48,146.19638986886724,2.7327191356943095,0.22708036,1237653665794097312,18.023403,16.70103,16.142376,1.3223724,1.8810272,1.3223724365234375,1.8810272216796875
49,167.85166722813054,14.147374229840475,0.22273019,1237661069255966815,18.07931,16.662804,16.213287,1.4165058,1.8660221,1.4165058135986328,1.8660221099853516
50,8.195708185370677,12.217579819897761,0.2786231,1237678919134413021,18.58195,16.97347,16.426477,1.6084785,2.1554718,1.6084785461425781,2.1554718017578125
51,224.6997587659374,19.454115173337176,0.22085159,1237667966958305602,18.893064,17.533997,17.033972,1.3590679,1.8590927,1.3590679168701172,1.8590927124023438
52,215.30813341607117,9.843884432748998,0.22179657,1237662239090082076,19.074703,17.680984,17.183874,1.3937187,1.8908291,1.3937187194824219,1.890829086303711
53,351.8247468838719,26.521680442866003,0.21757866,1237680276330447003,17.97841,16.615038,16.104656,1.3633728,1.8737545,1.363372802734375,1.8737545013427734
54,154.1826297917087,37.93860402461878,0.25162828,1237661382775603266,18.970886,17.504292,16.964699,1.4665947,2.0061874,1.4665946960449219,2.0061874389648438
55,151.01517632900425,37.52327618548624,0.28014258,1237661138495930500,19.40641,17.866207,17.322723,1.5402031,2.0836868,1.5402030944824219,2.0836868286132812
56,33.146931027468625,-8.346113885906236,0.232141,1237652901299290212,18.547785,17.128395,16.601177,1.4193897,1.9466076,1.4193897247314453,1.9466075897216797
57,41.850291781256495,-1.9514374985989642,0.24118325,1237678889601663197,18.73188,17.334034,16.80046,1.3978462,1.9314194,1.3978462219238281,1.9314193725585938
58,8.748956650651508,30.021021250434675,0.24691282,1237680332717228556,17.956573,16.513752,15.977306,1.4428215,1.9792671,1.4428215026855469,1.9792671203613263
59,229.51525912261286,36.475757453565,0.24865066,1237661874029199680,18.41993,16.94506,16.434408,1.4748688,1.9855213,1.4748687744140625,1.9855213165283203
60,193.9218599139489,44.09098438912802,0.24519782,1237661850398490713,18.703403,17.28513,16.816406,1.4182739,1.8869972,1.41827392578125,1.8869972229003906
61,241.106599147311,54.5519964422018,0.25171986,1237651539798589669,18.619358,17.17678,16.614477,1.4425774,2.004881,1.4425773620605469,2.004880905151367
62,0.9913994359050093,28.12180105496006,0.20062323,1237663307455398147,17.56734,16.26421,15.762075,1.3031311,1.8052654,1.303131103515625,1.8052654266357422
63,250.1227698841589,23.616849868542044,0.25487876,1237662335723635155,18.44221,16.93016,16.428204,1.5120487,2.0140057,1.5120487213134766,2.014005661010742
64,351.0905800799299,2.105166723167842,0.20795922,1237678618487685292,18.139921,16.829758,16.363668,1.3101635,1.7762527,1.3101634979248047,1.7762527465820312
65,226.84653462923347,42.734087553048724,0.2136123,1237662498390606180,18.088373,16.712322,16.221058,1.376051,1.8673153,1.3760509490966797,1.8673152923583984
66,209.15320486439063,17.832503167329804,0.22140951,1237668271364440249,18.27929,16.910725,16.404676,1.3685646,1.8746128,1.3685646057128906,1.874612808227539
67,217.008521988418,20.029625635611964,0.24924424,1237667736132518168,18.814714,17.310162,16.797724,1.5045528,2.0169907,1.5045528411865234,2.0169906616210938
68,188.4805524041326,15.43305233971104,0.22812648,1237661070338424997,18.558517,17.171686,16.650146,1.3868313,1.908371,1.386831283569336,1.9083709716796875
69,225.36772634986212,21.5732917185749,0.26735726,1237665531716633026,18.288273,16.772545,16.234426,1.515728,2.0538464,1.5157279968261719,2.0538463592529297
70,129.70966554789973,42.13139224488585,0.25330898,1237657771239276804,18.921623,17.434263,16.960072,1.48736,1.9615517,1.4873600006103516,1.9615516662597656
71,222.8729750835146,21.83100557757359,0.26429263,1237665531178778933,19.256409,17.797482,17.280611,1.4589272,1.9757977,1.4589271545410156,1.9757976531982422
