#Table1
ra,dec,u,g,r,i,z,type,psffwhm_u,psffwhm_g,psffwhm_r,psffwhm_i,psffwhm_z,flags,Column1
201.729821802406,48.3102916344474,-9999,23.02653,-9999,-9999,-9999,6,0,1.33377,0,0,0,439804919681284,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER BINNED1 INTERP COSMIC_RAY NOPETRO EDGE 
201.611162617405,48.638568178853,25.31963,24.05077,-9999,22.1211,22.9239,6,1.399778,1.312699,0,1.138409,1.003828,316728370921748,TOO_FEW_GOOD_DETECTIONS DEBLENDED_AT_EDGE STATIONARY BINNED1 DEBLENDED_AS_PSF NOTCHECKED INTERP NOPETRO CHILD EDGE 
201.620333304521,48.666979647837,23.65071,22.0016,-9999,18.69608,17.75386,6,1.419181,1.315862,0,1.139603,0.998854,281543964623110,TOO_FEW_GOOD_DETECTIONS STATIONARY BINNED1 NOPETRO EDGE BRIGHT 
201.620307265138,48.6669802852024,23.65071,22.0016,-9999,18.69608,17.75386,6,1.419181,1.315862,0,1.139603,0.998854,68987912452,STATIONARY BINNED1 NOPETRO EDGE 
201.291151890098,49.0713164046467,25.45348,23.02948,-9999,25.0971,22.6188,6,1.453129,1.252734,0,1.05992,1.219559,439804919677188,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER BINNED1 INTERP NOPETRO EDGE 
201.523309205977,49.0672885684866,24.61049,23.28279,-9999,-9999,23.51181,6,1.581496,1.193115,0,0,1.129109,439804919681284,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER BINNED1 INTERP COSMIC_RAY NOPETRO EDGE 
201.777527981977,49.0781805981127,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,343047896695062,TOO_FEW_GOOD_DETECTIONS DEBLENDED_AT_EDGE INTERP_CENTER SATUR_CENTER BINNED1 SATURATED INTERP NOPETRO CHILD EDGE BRIGHT 
201.736346843155,49.0062052847618,25.26742,23.3877,-9999,-9999,23.38231,6,1.463905,1.335698,0,0,1.003658,439804919677188,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER BINNED1 INTERP NOPETRO EDGE 
201.194736870949,48.8801669878871,-9999,22.90499,-9999,-9999,22.36004,6,0,1.662371,0,0,1.448997,439804919677188,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER BINNED1 INTERP NOPETRO EDGE 
201.579967129621,49.023279525645,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,307863524610382,TOO_FEW_GOOD_DETECTIONS INTERP_CENTER SATUR_CENTER BINNED1 SATURATED INTERP COSMIC_RAY NOPETRO NODEBLEND BLENDED EDGE BRIGHT 
201.777614022368,49.0782055056556,12.1336,10.39651,10.00406,9.922088,10.33619,3,1.427884,1.297794,1.1421,1.15976,1.00866,483785386102800,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER SATUR_CENTER BINNED1 SUBTRACTED SATURATED INTERP COSMIC_RAY CHILD 
201.777590146405,49.0782249636257,12.10771,10.42443,10.01603,9.9137,10.35481,3,1.42658,1.296855,1.141702,1.159376,1.008558,483785418604562,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER SATUR_CENTER BINNED1 DEBLENDED_AS_PSF SATURATED INTERP CHILD BRIGHT 
201.725718442282,48.5877515756509,11.9119,10.47285,10.24231,10.21045,10.75332,3,1.306353,1.410979,1.124046,1.189364,1.003417,453216022433802,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER SATUR_CENTER DEBLEND_UNASSIGNED_FLUX PEAKS_TOO_CLOSE STATIONARY NODEBLEND_MOVING MOVED BINNED1 DEBLEND_PRUNED SATURATED INTERP COSMIC_RAY BLENDED BRIGHT 
201.725718471993,48.5877515712132,11.91545,10.47695,10.24233,10.21048,10.75342,3,1.306353,1.410979,1.124046,1.189364,1.003417,483787532537874,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER SATUR_CENTER MOVED BINNED1 SATURATED INTERP COSMIC_RAY CHILD BRIGHT 
201.725708822844,48.5877395440259,11.9048,10.48719,10.26147,10.25,10.72811,3,1.307497,1.411744,1.123916,1.189718,1.003683,1574719494426632,DEBLEND_DEGENERATE TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER SATUR_CENTER PEAKS_TOO_CLOSE STATIONARY NODEBLEND_MOVING MOVED BINNED4 BINNED2 BINNED1 DEBLEND_PRUNED SUBTRACTED SATURATED INTERP COSMIC_RAY BLENDED 
